timestamp,steps
2026-02-05 10:16:31.440000,94
2026-02-05 10:19:38.178428,7
2026-02-05 10:19:48.471707,42
2026-02-05 10:25:14.336935,27
2026-02-05 10:26:14.336935,3
2026-02-05 10:57:59.277855,19
2026-02-05 10:58:59.277855,15
2026-02-05 11:05:18.332277,7
2026-02-05 11:09:27.738264,12
2026-02-05 11:20:15.671766,29
2026-02-05 11:22:59.375414,27
2026-02-05 11:23:59.375414,9
2026-02-05 11:29:00.698160,11
2026-02-05 11:47:27.945261,5
2026-02-05 11:48:27.945261,64
2026-02-05 11:50:57.276558,15
2026-02-05 11:51:57.276558,4
2026-02-05 12:05:49.156746,15
2026-02-05 12:09:00.645589,13
2026-02-05 12:13:05.781593,10
2026-02-05 12:29:35.082827,14
2026-02-05 12:30:35.082827,27
2026-02-05 12:39:22.090980,12
2026-02-05 12:48:19.652875,41
2026-02-05 12:57:54.670364,149
2026-02-05 13:05:11.434974,466
2026-02-05 13:20:43.435013,25
2026-02-05 13:21:41.863988,153
2026-02-05 13:26:47.863991,30
2026-02-05 13:27:08.699373,155
2026-02-05 13:30:44.176226,22
2026-02-05 13:31:03.025856,140
2026-02-05 13:34:39.478932,184
2026-02-05 13:39:38.631982,84
2026-02-05 13:40:44.107864,14
2026-02-05 13:41:00.974870,45
2026-02-05 13:41:55.539743,57
2026-02-05 13:42:59.031594,11
2026-02-05 13:43:17.881264,209
2026-02-05 13:48:48.466561,23
2026-02-05 13:50:16.858613,165
2026-02-05 13:55:46.858620,18
2026-02-05 14:04:49.523000,60
2026-02-05 14:06:50.034168,7
2026-02-05 14:07:00.948996,18
2026-02-05 14:08:31.127117,71
2026-02-05 14:23:30.098981,100
2026-02-05 14:26:50.098977,9
2026-02-05 14:27:51.740279,60
2026-02-05 14:29:51.740284,99
2026-02-05 14:34:25.355704,8
2026-02-05 14:48:29.564306,37
2026-02-05 15:06:51.014872,29
2026-02-05 15:07:51.014872,39
2026-02-05 15:08:23.744541,60
2026-02-05 15:09:16.336755,19
2026-02-05 15:09:46.097114,19
2026-02-05 15:15:53.784246,35
2026-02-05 15:17:03.784247,59
2026-02-05 15:18:47.947670,7
2026-02-05 15:18:51.915998,52
2026-02-05 15:22:19.009772,78
2026-02-05 15:26:27.037903,77
2026-02-05 15:33:40.627889,73
2026-02-05 15:57:48.861929,50
2026-02-05 16:34:45.542000,174
2026-02-05 16:52:57.682261,255
2026-02-05 17:03:11.371292,10
2026-02-05 17:42:47.531986,74
2026-02-05 17:45:15.532001,20
2026-02-05 18:00:25.641174,128
2026-02-05 18:04:41.641190,4
2026-02-05 18:07:08.870360,10
2026-02-05 18:09:57.807140,29
2026-02-05 18:11:03.300767,7
2026-02-05 18:12:03.300767,2
2026-02-05 18:35:39.529732,25
2026-02-05 18:44:48.670271,16
2026-02-05 18:45:48.670271,31
2026-02-05 18:47:03.562742,36
2026-02-05 18:49:58.248932,18
2026-02-05 18:54:27.098569,24
2026-02-05 18:55:27.098569,51
2026-02-05 18:59:40.574702,8
2026-02-05 20:19:03.241000,4
2026-02-05 20:19:15.260603,10
2026-02-05 21:05:39.087743,69
2026-02-05 21:27:06.718518,10
2026-02-05 21:56:52.916238,31
2026-02-05 21:57:54.916239,4
2026-02-05 22:09:41.709885,51
2026-02-05 22:34:53.514590,7
2026-02-05 22:54:38.504316,25
2026-02-05 22:55:58.509466,57
2026-02-05 22:57:52.509469,16
2026-02-05 22:58:55.637234,7
2026-02-05 23:28:00.314366,6
2026-02-06 00:16:25.140239,23
2026-02-06 00:24:46.135280,37
